Breeds Names,Breed, Adaptability,Physical Needs,All Around Friendliness,Health Grooming,Trainability,Size
Shiba Inu,184,4,3,3,3,4,2
Shih Tzu,185,3,3,5,2,3,1
Siberian Husky,186,3,5,5,3,4,3
Silken Windhound,187,4,4,4,3,4,3
Silky Terrier,188,3,4,3,3,4,1
Skye Terrier,189,4,4,4,3,4,2
Sloughi,190,3,4,4,3,3,4
Small Munsterlander Pointer,191,3,5,5,3,4,3
Soft Coated Wheaten Terrier,192,3,4,5,3,3,3
Stabyhoun,193,3,4,4,3,4,3
Staffordshire Bull Terrier,194,2,4,4,4,3,2
Standard Schnauzer,195,3,5,3,2,4,3
Sussex Spaniel,196,4,2,5,3,3,2
Swedish Vallhund,197,3,5,4,4,3,3
Tibetan Mastiff,198,3,3,4,3,3,5
Tibetan Spaniel,199,3,4,4,3,4,1
Tibetan Terrier,200,4,5,4,2,3,2
Toy Fox Terrier,201,3,5,4,3,4,1
Treeing Tennessee Brindle,202,2,4,4,4,3,3
Treeing Walker Coonhound,203,3,4,4,3,4,4
Vizsla,204,3,5,5,3,4,3
Weimaraner,205,3,5,4,4,4,4
Welsh Springer Spaniel,206,4,5,4,3,4,3
Welsh Terrier,207,3,5,5,3,4,2
West Highland White Terrier,208,4,4,4,3,4,2
Whippet,209,3,4,5,3,4,3
Wirehaired Pointing Griffon,210,3,4,5,2,4,3
Yorkipoo,211,4,4,4,2,4,1
Yorkshire Terrier,212,3,5,3,2,3,1
