Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed
1,Chester ( Schnauzer),12,195,179,1,6,0,0,1,2,1,1,3,1,1,100,41401,eba68472a648e066204509ffe1667c82,0,1 years old male Schnauzer. Healthy condition.,fb1a745e6,2,0
1,Coffee,32,179,0,2,2,0,0,1,1,1,1,1,1,1,500,41326,15b00b3891a2a4008eb9286380f23b14,0,..busy for work...looking a good owner for coffee. contact us,a93eb0d6f,3,0
1,Cute,23,179,205,2,5,0,0,2,2,1,1,2,2,1,0,41326,5decac3754fc710ee7f179f4a5d0d850,0,"Female, 1 yrs 11 mth,",a6e33dddf,0,0
1,Dex,18,179,0,1,2,5,0,1,2,1,1,1,1,1,0,41326,354bcbbb2e538d35475bd1d4023fb7ca,0,He's Cute,7b36167be,4,0
1,Dior ( Schnauzer),60,195,195,2,1,7,0,1,2,1,1,2,1,1,100,41401,eba68472a648e066204509ffe1667c82,0,Very healthy dog. We want to give away because we will be leaving soon.,3ce528284,1,0
1,Golden,24,109,0,2,3,0,0,2,2,1,1,2,1,1,0,41326,1c391ec0604e972b0c561c53b665093d,0,"I found Golden in front of my hse,after 6 months the owner come to my hse to meet back,but last 2 weeks golden come n visit my hse again..",841bcd63f,2,0
1,Ha Ha (Toy Poodle),12,179,0,1,2,0,0,1,2,1,1,2,1,1,300,41326,225d19c861c7c5d20a9c3ba1b2d37753,0,"Ha Ha belongs to my friend who migrated to another country. I couldn't care for him as i have got a few other dogs of my own. He is very playful and active. He has been given three vaccinations and do not need to be vaccinated until 28th December . Note that he barks so will be a very good guard dog. Once bonded, he is a lovable companion. He can get along with other dogs as long as they can get along with him. However, he's not ok with cats. I do hope Ha Ha can find a good home where he is loved and taken care of. Do call or message me at.",0e922caab,5,0
1,HERO,6,109,0,1,3,0,0,3,3,1,1,2,1,1,0,41326,f75d4d85798c949012e61bb8ecd29693,0,"The puppy 3 vaccination done already,dewormed, n come with birth certificate n microchip,if u wish to adopt him,pls call maggie witin 1pm-7pm........thanks.....",dc88ebe46,1,0
1,Jimmy,15,109,0,2,3,0,0,3,3,2,2,3,1,1,0,41326,6325f7aba006fff25e13ccdff7e92e25,0,jimmy is very playfull and looking for a loving home.,13485ebf1,1,0
1,Jojo,11,20,0,2,1,2,7,2,1,1,1,3,1,1,0,41326,1d6add3fb44437d666e39e92a9917ee2,0,"JOJO is a very active girl, like to play with kids",dfcd19237,2,0
1,Jojo,54,213,0,1,1,2,7,2,3,1,1,1,1,1,150,41326,920d8cc91447e6c6b7c817b399b760ce,0,"This handsome fellow is looking for a loving home. He comes from a loving home but his owner has to migrate overseas so now he is searching for another home. Very active, healthy and cheeky fellow. Very naughty as well so future owners need to ensure that they have the time and resources to care for him. Very protective of his household but needs proper training and guidance. Needs a lot of attention and love.",cc628c147,8,0
1,Lady Smellanor,96,69,0,2,2,5,0,1,2,1,1,1,1,1,0,41326,920d8cc91447e6c6b7c817b399b760ce,0,"Hi there. Call me Lady, or as my foster mama calls me, Lady Smellanor. She thinks it’s funny. I don’t. I hate this name. That is why I need a new home with sane owners who will give me a pretty name… like I deserve! I was found wandering around a bustling urban area. All by myself. My rescuers think I got lost. My foster mama thinks I was abandoned. My vet thinks I was used for breeding. My foster grandmama thinks I was abused. No one really knows my story… no one really knows my pain. Only I know the suffering I have borne. Only I know the darkness I have travelled through. The sad truth is, I will never see light again. You see, I am blind. My previous owners did not take care of me the way they should have. My eyes and ears need meticulous daily care. My poor teeth need to have plaque-remover applied every day followed by gentle brushing. Because my teeth have deteriorated after years of neglect, I smell a little pungent. And that is where my insensitive foster mama thought it was okay to name me Smellanor! Oh, the nerve! Other dogs frighten me. I don’t mean to, but when I am afraid I attack. My foster mama says I am no real danger to anyone. Even if I do charge at another fur-dude or fur-dudette I always miss. To be honest, I seldom know where I am. Being plunged into a world of darkness is not easy. I keep bumping into things and falling into holes. My foster mama thinks it is hilarious to call me Stevie Wondress. That woman needs to get tested! I am old, tired and gray. All I want is a healthy arm to be my stay. I pray that someone will adopt me just to love me and protect me. I am house-trained and extremely obedient. Never will I bark, or bite, or disappoint you. Never will I leave your side, until I leave this world. If you have room in your home and in your heart, would you let me in? Would you spare me a chance to live happily with what is left of my days? I hope the angels whisper in your ear tonight, so you will find your way to me. I’ll be waiting…",f9e4762d2,11,0
1,Lucky,72,141,0,1,5,0,0,3,2,1,1,2,1,1,0,41326,fa3e74d5b628d5bc275fb6c2535b9f4d,0,"Our family adopted Lucky 3 years ago after our previous dog past away from old age. We weren't intending of getting another dog after the pain we went through seeing our beloved dog passed away. But when we saw the state in which Lucky was in when he was found by our neighbour (wound marks on his neck and body), we had a change of heart. We knew Lucky needed us. We took him to the vet to be vaccinated. He was found to have heart worm hence the breathlessness which we noticed when we played with him. We got him treated. It was a stressful three months during the treatment period since he was not to be excitable for fear of getting a stroke. It was difficult because he was an energetic dog who gets happy and excited whenever we are around. Thankfully, he survived and has since been living a healthy life. Lucky is playful, loving and very loyal. He loves company and is very affectionate. He gets along well with kids. Our family will be relocating overseas and hence we are looking for a good owner who will offer him love and care.",79bf5eb37,6,0
1,Max Boy,9,207,0,1,2,3,0,1,2,1,1,2,1,1,0,41401,a759b23a4561a9aaad3b0bc7e04adb86,0,max boy,bbd704c14,5,0
1,Mickey,36,207,60,1,2,0,0,1,3,1,1,2,1,1,0,41326,378cb7597b408634c3f18307e75b8ecd,0,"Mickey was the Whitie eldest son, born on 4/, weight gm, 1st opened his eye on /06. A happy and very active dog.",8b03c494a,5,0
1,Milo,13,179,0,1,3,0,0,1,3,1,1,2,1,1,0,41326,a4d1eecebdf0b608583d8b166d9a9d71,0,Milo is a very manja dog. He has a very sweet temperament who loves to be showered with attention. Milo has been adopted by a loving family.,e4fb514b2,4,0
1,Minnie,60,179,0,2,7,0,0,1,2,1,1,3,1,1,1,41336,c4423145c52074376d5172b5607b1713,0,"My pet is a poodle, its name is winnie, due to personal problem I have let other people to adopted, please contact my hp - ms ng, tq. The dog very obedient, friendly and seldom bark. Its will toilet (大小便) at cage(笼子) inside, well trained.",f90762cef,1,0
1,Missy,36,152,0,2,1,2,3,1,1,1,1,2,1,1,0,41326,923ad6932f839578a094df4685befdce,0,"Looking for a good loving home, to stay indoors prefferred. No caging. Extremely friendly with children and manja. Not fussy with kibbles. Is being kept with a vet for some time.",a0825ad18,1,0
1,Molly,22,76,0,2,2,7,0,2,1,1,1,1,1,1,0,41401,d58a21709dabb4696baa65e99293316c,0,"Molly is a real family dog who loves company and is housetrained. She comes with her crate, bowls, lead and basket. She is really friendly, very even tempered and is great around kids and people. She has no bad habits. We are looking for a good home for her because we are leaving the country shortly. She is free to a good new owner and has a full vaccination and microchip record.",85078bc71,2,0
1,Mun Mun,60,179,0,2,5,7,0,1,2,1,1,1,1,1,0,41326,3eeed59f1d2ecb648f9a8e625e7dda73,0,"Fostered this pretty girl since she was about 1 year old. Beautiful white fur with cream highlights. Loves to have a female owner, loves children. Excellent guard dog, she thinks she is a rottweiler. Highly protective of owner and home. Couldn't bear to let her go then as earlier owners were violent people. But my parents are getting old and I travel too much. Hope to find a loving owner for her.",12380b365,3,0
1,Naughty,4,20,109,2,5,7,0,2,1,1,1,1,1,1,0,41326,3dc177c67b5cebd29b594657ad8d6576,0,"she is 4 month old beago, when i find her she was very thin and sad little girl but now she is one healthy girl but i can't keep her anymore so i put her for adoption (free). oh and she loves to play with hare alottttt contact this number if you are interested Baharak",6c803e00e,3,0
1,Ping Ping,3,119,218,2,1,2,7,2,2,2,1,1,1,1,150,41401,21bc494242cec7d5167c57647a676dec,0,Ping Ping was adopted from Cerz...She is a mix of husky and terrier but i dont know how to list her breed from the profile. More details can be found under the 'Adopted' section.,eb102e06d,3,0
1,Popo,8,179,0,2,2,0,0,1,1,1,1,3,1,1,0,41326,841d36c916dd2eb1d13dcd513ac9e9a1,0,Looking for a home for popo Don't have the time to take care of her,0e6dd5e23,1,0
1,Pretty,36,179,0,2,1,6,0,1,2,3,1,2,1,1,0,41326,5610c062c80f69548cd3c1779693be74,0,"The Owner is moving back to their country and can't take her along. She is ard 4 years old, children and human friendly, currently im taking care of her but need to find her a new home asap because myself already have 2 dogs. Free Adoption.",192303603,2,0
1,Prime,12,103,206,1,1,7,0,3,3,1,1,2,1,1,400,41326,3fe5aba0e163ba03b294342d402bf179,0,1 years old husky mix German shepherd male looking for good home.,0a555d688,4,0
1,Rex,72,141,0,1,5,0,0,3,1,1,1,2,1,1,0,41326,e76b700e2c869088979aa5efeb962dd7,0,Friendly and playful. Good watchdog because of his big build up. I need to give up as I will be posted overseas within a week. Need someone who will walk and take good care of him. Pls call me URGENTLY..,02f89bdcb,3,0
1,Rocky,18,109,0,1,3,0,0,3,1,1,1,2,1,1,200,41326,3e8dae17a121ed2f28ccdd11901e5bd1,0,"His name is Rocky. He is a very fun and loving dog. We treat him like a member of the family. We care a a lot about him. We provide the best of everything for him in terms of nutrition and general welfare. Unfortunately, we can no longer keep him due to the relocation of our job. We seek for those people who can really provide love and bring joy to Rocky as much as we do. Rocky is a pure breed Golden retriever but he is not MKA certified. we trim his fur for easy grooming and maintenance. Only serious owners please!",ac8229264,3,0
1,Rooney,60,109,0,1,3,0,0,3,2,1,1,1,1,1,0,41326,920d8cc91447e6c6b7c817b399b760ce,0,"Hello there. My name is Rooney. If you are a football fan, I just have to say, I am a gazillion times more handsome than THAT Rooney. Just sayin'... I am 5 years young. A strong, healthy boy looking for a new home. I don't ask for much, really. You would find that it is actually so easy to take care of me. I am gentle, friendly, loving and I just want to be cared for. Can anyone out there help me find my new family? Prettiest please as can be?",f78698cc4,6,0
1,Rox,78,205,0,1,3,7,0,1,1,1,1,1,1,1,0,41401,de19ec75e15aed3f3436b31712a309b9,0,"Rox is my dog that has shared many ups & downs with me for the past 6.5 yrs. But, since I moved to the new house, the management doesn't allow pets in premise, and also due to my constant allergies, I am unable to care for him now. He is a very obedient dog, but sometimes can be stubborn. Always home-bound, hence pee & poo in a tray. Happy-go-lucky active dog. He loves to play fetch and very gentle towards children. He used to play with my kid. I need to find him a good home and stay with those who can love him and care for him more than me.",28af3f2c9,2,0
1,Ruffles,17,205,0,1,2,7,0,1,1,1,1,2,1,1,0,41326,8525c9bf20d418cd037850c8f9d14656,0,Ruffles is a playful little dog. He is very well taken care and regular visits to the vet for vaccination. He has a microchip embedded and I will provide the cert to the new owner. I have to give him up as I had just taken a new job which will require me to travel overseas regularly. I hope to find someone whom will love him as much as I do.,e0d71d1af,0,0
1,Scotty 11,14,213,201,1,1,3,7,2,2,1,1,1,1,1,0,41326,4221952c89be5f248dede46d0f2bb9e6,0,Found by a friend at 3 mths. He could not keep the dog & requested me to help take care. We have neutered the dog & sent him for 10 training lessons. We allow this dog to come in the house as & when he likes. Due to my sinus & allergy problem we got to let him go to a good family.,72c626d6c,4,0
1,Shih Tzu,17,205,0,1,2,5,7,1,3,2,2,2,1,1,0,41326,88a21c30883ab70a93e09035e0a9a754,0,"This dog was given up by his owner as their children has grown up and leaving for university. The parents can't afford to spend time for this dog. He is around 1-1.5 years old. Excellent health condition. No adoption fee but we seek for kibbles to be donated to our food supply in feeding the strays. 2 bag of combo at RM each and you may donate more if wish to. Our requirement are simple : a) Adopter must be an animal lover. b) No long hour of caging or tied on leash. c) Provide necessary medical attention d) neuter and vaccinate him. We will to arrange for this. Adopter may view him before deciding. Trial adoption is available**. ** subject to terms & condition If you keen to find out more, please contact me",081c0a12d,4,0
1,Shizuka,2,179,195,2,2,0,0,1,2,2,1,2,1,1,500,41326,7a22a977b447e38f94017409294d1932,0,Schnoodle for adoption. RM adoption fees as below: 1. RM non refundable to cover her food and medical expenses. 2. RM as deposit and will be refunded after she's spayed. Adopter must agree to sign agreement and dog MUST be SPAYED!! Serious adopter only. Thanks.,6f41847b5,0,0
1,Shy / Ruby,30,206,109,2,1,3,5,3,3,1,1,1,1,1,0,41401,f0330117915430070a7d03e61d2daa80,0,"I raised her since she was a puppy . Recently , i shifted to a bigger house . One of my neighbour also own few dogs and Shy is getting infected by them . Those dogs are are having serious ticks . No matter what treatment i send Shy to , she having ticks again and again . Its gaining ! I couldn't help her . I couldn't see her suffering this way . She was very chubby few months ago and now she has reduced so much of weight . If anybody interested please contact me as soon as possible . I'm not expecting money . I just want a very responsible owner who could handle with her ticks , send her to proper treatment and also keep in touch with us . She is very loyal and loveable . She is toilet trained . Contact : Neshalyn",d83aa1f02,6,0
1,Simba,82,189,0,1,1,0,0,3,1,1,1,1,1,1,300,41326,20e79a294bb929f425376c8e54e1df51,0,"I have had Simba since a puppy, a beautiful loving dog who has given my family so much joy and happiness. I am moving and will not be able to bring him along. I would like to find someone who appreciates him and give him a good home. For those who care about the breed details, he is of imported lineage, with MKA cert and Microchip. Contact me for details.",b9086e44f,3,0
1,Snooze,53,182,0,2,1,5,0,2,1,1,1,1,2,1,0,41326,aaaff68b63d113e632bc5b0fce1ccd3c,0,"A greedy and lazy pug, but she's cute and love it when people massage her back! She has a front tooth jutted out and she's clumsy! She also loves chasing and playing with another dog of mine!",e375cb119,1,0
1,Snowy,24,179,0,2,7,0,0,1,1,1,1,2,1,1,200,41324,4f04b27225bb8df06a0a4417b81c2d1c,0,"snowy was left my her owner in a nearby pet shop, was stranded there for about 4 months.. me n my fren we took her in n have been taking care of her for the past one month.. but since i am still a student and also i already have another dog at home.. its quite hard for me to take care of her.. initially we had few frens whom wanted to take her in but due to circumstances they couldnt the adoption fee is to give her another vaccination jap before letting her go as suggested by our vet. she is a super friendly and extremely obedient well trained dog.. she will instantly get attached to u like how she did with me.. and i am only looking for a very serious adopter who is willing to give her a beautiful home and unconditional love.. she has gone thru alot and i cant c her going thru it again.. sorry for being harsh.. the adoption fee is negotiable.. and also u can whats app to the number stated above for inquiry.. thank u",80e8288c9,5,0
1,Snowy,6,195,0,2,1,7,0,1,3,1,1,2,1,1,0,41401,79309f4027f2fedb4349a298c69fe56f,0,ooooo,4d163b731,1,0
1,Tiger,48,82,0,1,1,2,7,2,1,1,1,1,2,1,0,41326,920d8cc91447e6c6b7c817b399b760ce,0,"Hi my name is Tiger! But my name is not synonymous with my character. I am by far on of the most gentle, docile and loving dogs you would have ever met in your life. My idea of a perfect day is lazing in the afternoons, cuddling with my loved ones and playing with my pet kitten. YES, I have a pet kitten. I was abandoned a long time ago by someone who didn't want me. That really hurt my feelings. I spent some time in a halfway house and then I was adopted by a gentleman who loved me very much and I him. We had good times together, I made him laugh so many times and he put a smile in my heart too. But times are not easy. I am up for adoption again because my owner wants the best for me. You see, because of my genetics I am prone to skin problems. I require frequent veterinary care, specialised food and loads of TLC. I need a home that can give me all this and more. As much as my owner loves me and wants me to be with him, he is struggling to afford my medical bills and keep a close eye on my skin. Please contact if you or anyone you know can give me the home I need....",f5e496f46,5,0
1,Pumpkin,60,60,0,2,1,7,0,1,1,1,1,2,1,1,100,41327,4a9cb6e373c823566969e4a7cadd7708,0,"Quiet loving adult Chihuahua looking for a good home! Dog's Name: ""Pumpkin"" Age: 5 years old Sex: Female Breed: Purebred Chihuahua Coat Type: Short Hair Size: Approx. 2.5kgs Adoption Fee*: RM *Adoption fee will be refunded upon proof of spaying. Quiet well behaved adult chihuahua. House trained to potty in a tray. She is looking for a new home that will love her and be kind to her. Prefer adult home or home without young children. ""Pumpkin"" has suffered an eye injury when she was a puppy. Does not affect her or hurt her in any way now, but does make her right eye look milky/cloudy. You can see in the close up pic below. ""Pumpkin"" is available for viewing in Penang. However, I do travel frequently to KL so I can always bring her down to KL with me FOC. If you would like to provide ""Pumpkin"" with a new forever home or have further questions, please contact me at. Thanks.",f477f306f,6,0
1,Cola,36,195,0,2,6,7,0,2,2,1,1,2,1,1,0,41326,881437284a131a4d83d44f6ac42b4f54,0,"Adoption!!! Miniature schnauzer looking for good home. Who are interested, please drop us a message. DOB : - (3 years old) Gender : female Color : salt & pepper With complete vaccination & deworming record *must be pet lover*",0636650db,1,0
1,Ace,38,26,0,1,1,2,3,2,1,1,1,1,1,1,0,41326,cec9711811ab76146d44bde97b857f09,0,Ace is a friendly and active dog. He can be a good companion dog to a family or a guard dog for a landed house. His current owners are working outstation now and couldn't take care of him any more. Therefore he is sent to a vet clinic at Kuchai Entrepreneurs Park for boarding after spayed and small surgery on his tail due to infection. You can see from the picture that the tail is shorter now.,315d0e254,13,0
1,Adult Smooth Coat Chihuahua Female,54,60,0,2,5,7,0,1,1,1,1,1,1,1,100,41327,4a9cb6e373c823566969e4a7cadd7708,0,"Playful Female Adult Chihuahua looking for a good home! Dog's Name: ""Apple"" Age: 4.5 years old Breed: Purebred Chihuahua Coat Type: Short Hair Size: Approx. 2.5kgs Quiet well behaved adult chihuahua. Gets along well with other dogs or cats. She is a very happy and good natured dog and loves to just sit in your lap and cuddle. House trained to potty in a tray. She is looking for a family that will love her and be kind to her. ""Apple"" is available for viewing in Penang. However, I do travel frequently to KL so I can always bring her down to KL with me FOC. If you would like to provide ""Apple"" with a new forever home or have further questions, please contact me at. Thanks.",caa16cc3c,3,0
1,Ah Boy,9,200,0,1,3,0,0,2,1,1,1,2,1,1,0,41401,78b714f92c7dbc76c079cba007e4b4e1,0,The pet is a healthy dog that is extremely loyal and an excellent guard dog for the house. He needs a home since the owner's new home can no longer adopt pets. Only dog lovers need apply. Sorry to resellers.,aaca75307,3,0
1,Ah Man,12,109,0,1,3,0,0,3,3,1,1,2,1,1,0,41326,f75d4d85798c949012e61bb8ecd29693,0,"If u interested want to adopt him,pls call me within 1pm-7pm, thanks.....",3b3349318,1,0
1,Ammani,36,205,218,2,1,6,7,1,3,1,1,2,1,1,0,41336,31de822d0adce3e2dad7dcedfbee2ba8,0,"Ammani was rescued from the streets (Taman Kasawari, durian tunggal, melaka). I have vaccinated her and according to the vet, she might be 2-3 years old, recently given birth, has slight skin problem, otherwise very healty dog. She has lost her fur on the back due to skin problem but now after treatment seem to be getting better as there is hair growth. It might take 2-3 months for her to recover fully. Very playful and active. If anyone out there could take good care of her and give her a life, please don't hesitate to contact me.",64f06dc3b,2,0
1,Appe,24,189,0,2,1,2,0,4,1,1,1,1,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,"Pure breed Rottweiler rescued fr breeder. Alrdy spayed, vaccinated and deworm.Ready to go to a home. Friendly but will bark at strangers. Adopter must hv a big compound for her to run as she is a big dog. Reimbursement of some medical expenses is required upon adoption.If you are interested to adopt pls contact Amy ",2f4eb5847,2,0
1,Artie,5,178,0,1,2,5,0,1,2,1,1,2,1,1,500,41326,44d7b225cd5850ec324390c65d0ec7ac,0,"Artie is an extremely loveable dog and has been my constant companion for the past few months as I live alone. However, I have recently found out that I have developed a severe allergy with animals and thus, he has to be given up to a better home. It does break my heart to let him go but I do recognise that I am unfit to care for him now as I have terrible break outs around him and wish to find a great home for my little pal. He's a gorgeous little sable Pomeranian and knows a few commands such as sit and stay. He loves being pet and sleeping on your lap all day long. Of course, he's been an indoor only dog so far and does not have issues with using his pee-pad. He has been socialised with cats and has no issues getting along with dogs bigger than himself. For those who are interested, do drop me a mail with a bit info on yourself as my phone number will only be given out to those who are suitable to adopt him.",a64ca36ca,2,0
1,Aska,28,206,0,1,1,7,0,3,2,1,1,3,1,1,50,41326,7e0a579f0f1d8e77b4ff2ebd3c9ad7a9,0,"I have this husky for the last 2 years plus, as my business is growing overseas, I do not have time to take care of him and one of my maid contract is ending soon. we needed someone urgent to adopt him and give me a good home. he is a beautiful grow adult dog and he comes with bi-eye which is very rare.",6668704bf,2,0
1,Baby,16,205,0,1,1,2,7,1,1,1,1,2,1,1,300,41326,4a90eecb8cb1122bec52ba7f7a89f895,0,"I'm looking for a loving,caring & kind new owner for my pet,Shih Tzu.He love toys and like to play.He always active.He can only eat food from salmon as having sensitive skin.He's very cute and loving.Only serious adopter,please.",4887999cc,4,0
1,Bai Bai,15,213,0,2,7,0,0,1,2,1,2,3,1,1,1,41326,7877737fb128f0077dec30266c2b9cc4,0,"from Taiwan Japanese spitz, white coat ,includ mka microchip. -- lim",0cbe33a44,2,0
1,Bamby,24,141,141,1,1,0,0,3,2,1,1,1,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,For Adoption,894d76b65,2,0
1,BB,35,75,0,1,2,0,0,1,1,1,1,3,1,1,0,41326,cc7d21fdf2049b89919d1e2dab94eec9,0,"good accompany, loved to play balls. Only request by myself: able to visit it occasionally. Reason: house moving, heavily travel for work. 7Feb- I send BB to Melaka. I was very surprised with the family who going to adopt him. Very friendly and definately a couple who are dogs lover. I feel very fortunate that they allowed me to visit BB occasionally. Of coz, due to my work from PJ & JB, I would like to drop by and visit them. I feel blessed with BB happiness with the area n new owner. I believe BB can find his own happiness than staying in a restricted new place and need to go petshop for boarding everytime. I truely thank god for given me such a gd dog and such a gd opportunity to learn about life (which leaving me doesn't mean it's bad but it's a gd begining). :) god bless every dogs and masters who can make each other happy!",f5f1ea56c,2,0
1,Beagle,50,20,0,1,1,2,7,2,2,3,2,3,1,1,0,41336,1052cedbf011dad90015089933524e68,0,I would like let go my beagle for adoption as reason migrating to oversea,a009a2f0f,2,0
1,BEAR BEAR,12,83,0,2,3,0,0,2,2,1,1,3,1,1,300,41327,e8eb801b1b920cc5a150a8ff8628f919,0,BIG EATER WITH NICE PAIR OF TEETH. DEFINATELY CHEERS PEOPLE UP. ATTRACTIVE HAZEL BROWN EYES. PROVIDE GOOD COMPANIONSHIP.,586585da9,3,0
1,Beauty,32,141,141,2,3,0,0,3,1,2,2,2,1,1,200,41326,8efff8f096af2a38adc9dcc0a914bec5,0,"She is very nice dog. She wont pee and poo at your home. You just bring her out daily. easy to take care. Reason to give out, cuz my mum going to move to my house. My parent unlike pet. So i have no choice. If you adopted her, i will give u all the thing she have. Include her Bowl X 2, If her food still available.",4427541c0,2,0
1,BEBE,117,205,0,2,1,2,7,2,2,1,1,1,1,1,0,41327,13cb39790e38c60cc14f66f361cadf42,0,BEBE... SHIH TZU... 9 YEARS OLD AND 9 MONTH.... FEMALE... FREE ADOPTION...,daa73505c,3,0
1,Bella,12,69,0,2,2,3,5,2,3,1,1,2,1,1,0,41326,629e126d47a68678ce74b0cbe4e40c50,0,"Rescued from a former owner who dont want her anymore. More details at www.myanimalcare.org type for ""Bella"" in the search box.",e0ee00f9a,2,0
1,Ben,7,109,0,1,3,0,0,3,2,1,1,1,1,1,250,41326,64c0b95d07c9e6d3ea11f801abf69104,0,nan,453750088,4,0
1,Bessy,24,19,0,2,2,5,0,2,1,3,1,3,1,1,0,41326,744fa4278196568a18fcf5cd7d324ed2,0,Found abandoned by the roadside near a bus stop. Very friendly and lovable. Pls call Alice at.,6dbed5324,1,0
1,Betsy,60,39,16,2,1,7,0,2,2,1,1,1,1,1,0,41326,14849f88de57bb320c2ea27e8606c2ab,0,"Betsy is a beautiful and very smart girl. Adopted her after her owner couldn't care for her anymore. Was left alone for more than a year by previous owner before coming to me. She is very obedient and a one handler dog. I have to put her up for adoption as she doesn't take well to my two very young children. Please give her a forever home. She's active, loves her walks and is so very willing to please her master.",e7176bba4,1,0
1,Bheema,67,189,0,1,1,0,0,3,3,1,1,2,1,1,0,41326,d51d5e9b8cf98775a80f819cf1d70fba,0,Very friendly and playful. Active and obedient. Letting go for adoption as unable to take care.,5.02E+13,1,0
1,Bieber,9,109,0,1,3,0,0,3,3,1,1,1,1,1,200,41326,55031315f7bac6061ec15ddcf928185c,0,for adpot pls call dog very healty no time to take care,2cf6b6627,3,0
1,Bili The Dalmatian,2,76,0,1,1,7,0,3,1,1,1,2,1,1,300,41336,d08575a4cf0558b823b1a7981b248985,0,"The pup is in very healthy and energetic condition, very playful and have already 1 time vac and 1 time deworm. The pup is given by a fren of mine as he already have 5 of it. The Pup always stay in house so is very clean and odorless.",4450385b4,4,0
