73,Collie,4,3,5,3,3,3
74,Coton de Tulear,4,3,5,2,3,1
75,Curly-Coated Retriever,3,4,4,3,4,3
76,Dachshund,3,3,3,3,4,1
77,Dalmatian,3,5,4,4,3,3
78,Dandie Dinmont Terrier,3,3,4,3,3,1
79,Doberman Pinscher,3,4,3,3,3,4
80,Dogo Argentino,2,4,3,3,3,4
81,Dogue de Bordeaux,3,3,3,4,3,4
82,Dutch Shepherd,3,4,4,3,3,3
83,English Cocker Spaniel,4,4,5,3,4,2
84,English Foxhound,3,5,4,3,4,3
85,English Setter,3,4,5,3,4,3
86,English Springer Spaniel,3,5,5,2,4,3
87,English Toy Spaniel,3,3,4,3,3,2
88,Entlebucher Mountain Dog,3,5,4,3,4,3
89,Field Spaniel,3,5,5,3,4,2
90,Finnish Lapphund,4,5,5,3,4,3
91,Finnish Spitz,3,5,5,3,4,3
92,Flat-Coated Retriever,3,5,5,3,4,3
93,Fox Terrier,3,5,4,2,4,2
94,French Bulldog,3,4,4,3,3,2
95,German Pinscher,3,5,3,3,4,3
96,German Shepherd Dog,3,5,4,3,4,4
97,German Shorthaired Pointer,2,5,4,3,5,3
98,German Wirehaired Pointer,3,5,3,3,4,4
99,Giant Schnauzer,2,4,3,3,4,4
100,Glen of Imaal Terrier,3,4,4,3,4,1
101,Goldador,4,5,5,3,3,4
102,Golden Retriever,3,4,5,4,4,3
103,Goldendoodle,3,4,5,3,3,4
104,Gordon Setter,3,4,3,3,4,3
105,Great Dane,2,5,5,4,3,5
106,Great Pyrenees,3,5,4,3,4,5
107,Greater Swiss Mountain Dog,3,4,5,3,3,5
108,Greyhound,3,4,5,5,4,4
109,Harrier,3,5,5,3,4,3
110,Havanese,4,3,5,2,3,2
111,Ibizan Hound,3,5,5,3,4,3
112,Icelandic Sheepdog,3,4,3,3,3,3
113,Irish Red and White Setter,3,5,4,2,4,3
114,Irish Setter,3,5,5,3,5,4
115,Irish Terrier,3,5,4,3,3,3
116,Irish Water Spaniel,3,4,5,2,4,3
117,Irish Wolfhound,2,3,5,2,3,5
118,Italian Greyhound,3,4,5,3,4,2
119,Jack Russell Terrier,3,5,5,3,4,2
120,Japanese Chin,3,2,3,3,3,1
121,Japanese Spitz,3,3,4,3,3,2
122,Karelian Bear Dog,3,4,3,3,4,3
123,Keeshond,4,4,5,3,3,3
124,Kerry Blue Terrier,3,4,4,2,4,3
125,Komondor,3,3,3,2,4,4
126,Kooikerhondje,3,5,2,3,3,3
127,Kuvasz,3,4,2,4,2,5
128,Labradoodle,4,5,5,3,3,4
129,Labrador Retriever,3,5,5,4,4,4
130,Lagotto Romagnolo,3,4,3,2,3,2
131,Lakeland Terrier,3,4,4,3,3,2
132,Lancashire Heeler,3,4,3,3,3,1
133,Leonberger,2,4,4,3,3,5
134,Lhasa Apso,4,4,3,2,3,1
135,Lowchen,3,4,5,3,4,1
136,Maltese,3,3,4,2,3,1
137,Maltese Shih Tzu,3,3,3,2,4,1
138,Maltipoo,4,3,4,2,4,2
139,Manchester Terrier,3,4,3,3,3,2
140,Mastiff,2,4,4,4,2,5
141,Miniature Pinscher,3,4,3,3,3,1
142,Miniature Schnauzer,4,4,4,2,4,2
143,Mudi,3,4,3,3,4,2
144,Neapolitan Mastiff,2,3,3,4,2,5
145,Newfoundland,3,3,5,3,4,5
146,Norfolk Terrier,4,4,5,3,3,1
147,Norwegian Buhund,3,5,4,3,3,3
148,Norwegian Elkhound,4,4,4,3,4,3
149,Norwegian Lundehund,3,5,5,3,3,3
150,Norwich Terrier,4,5,5,3,4,1
151,Nova Scotia Duck Tolling Retriever,4,5,5,3,4,3
152,Old English Sheepdog,4,4,4,3,3,4
153,Otterhound,3,5,5,3,4,4
154,Papillon,3,4,4,2,3,1
155,Peekapoo,4,3,4,2,3,1
156,Pekingese,3,2,3,2,4,1
157,Pembroke Welsh Corgi,4,4,4,3,3,2
158,Petit Basset Griffon Vendeen,3,5,5,3,4,2
159,Pharaoh Hound,4,3,5,3,4,3
160,Plott,2,4,4,3,4,3
161,Pocket Beagle,3,4,5,3,4,2
162,Pointer,2,5,5,3,5,3
163,Polish Lowland Sheepdog,4,4,4,2,3,3
164,Pomeranian,3,3,3,3,3,1
165,Pomsky,3,3,3,3,4,2
166,Poodle,4,4,5,2,4,4
167,Portuguese Water Dog,3,5,5,2,4,3
168,Pug,3,4,4,3,2,2
169,Puggle,4,3,5,4,3,2
170,Puli,3,5,4,2,4,3
171,Pyrenean Shepherd,3,5,4,2,3,2
172,Rat Terrier,3,5,4,3,3,1
173,Redbone Coonhound,3,5,4,3,4,3
174,Rhodesian Ridgeback,3,5,4,3,3,4
175,Rottweiler,2,4,4,4,4,3
176,Saint Bernard,3,3,5,3,2,5
177,Saluki,2,4,4,2,4,4
178,Samoyed,3,4,5,3,4,3
179,Schipperke,3,5,3,4,3,1
180,Schnoodle,3,4,4,3,3,4
181,Scottish Deerhound,3,5,4,3,3,5
182,Scottish Terrier,3,4,4,2,3,2
183,Sealyham Terrier,4,4,4,3,3,2
184,Shetland Sheepdog,3,4,5,3,3,1
185,Shiba Inu,4,3,3,3,4,2
186,Shih Tzu,3,3,5,2,3,1
187,Siberian Husky,3,5,5,3,4,3
188,Silken Windhound,4,4,4,3,4,3
189,Silky Terrier,3,4,3,3,4,1
190,Skye Terrier,4,4,4,3,4,2
191,Sloughi,3,4,4,3,3,4
192,Small Munsterlander Pointer,3,5,5,3,4,3
193,Soft Coated Wheaten Terrier,3,4,5,3,3,3
194,Stabyhoun,3,4,4,3,4,3
195,Staffordshire Bull Terrier,2,4,4,4,3,2
196,Standard Schnauzer,3,5,3,2,4,3
197,Sussex Spaniel,4,2,5,3,3,2
198,Swedish Vallhund,3,5,4,4,3,3
199,Tibetan Mastiff,3,3,4,3,3,5
200,Tibetan Spaniel,3,4,4,3,4,1
201,Tibetan Terrier,4,5,4,2,3,2
202,Toy Fox Terrier,3,5,4,3,4,1
203,Treeing Tennessee Brindle,2,4,4,4,3,3
204,Treeing Walker Coonhound,3,4,4,3,4,4
205,Vizsla,3,5,5,3,4,3
206,Weimaraner,3,5,4,4,4,4
207,Welsh Springer Spaniel,4,5,4,3,4,3
208,Welsh Terrier,3,5,5,3,4,2
209,West Highland White Terrier,4,4,4,3,4,2
210,Whippet,3,4,5,3,4,3
211,Wirehaired Pointing Griffon,3,4,5,2,4,3
212,Yorkipoo,4,4,4,2,4,1
213,Yorkshire Terrier,3,5,3,2,3,1
