Id,Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,AdoptionSpeed
36,2,24,265,292,2,1,4,0,2,2,1,1,3,1,3,0,1
37,2,2,265,0,2,2,0,0,1,2,2,2,2,1,1,0,0
38,1,12,307,0,1,1,0,0,2,1,2,2,2,1,1,0,0
39,1,12,307,0,1,5,0,0,2,2,1,1,2,1,1,0,1
40,2,2,265,266,2,7,0,0,2,2,2,1,2,1,1,0,1
41,2,1,266,0,3,1,2,7,1,1,2,2,2,1,3,0,0
42,2,24,292,285,2,7,0,0,2,3,3,3,3,2,6,0,0
43,1,5,128,307,1,7,0,0,2,1,1,1,1,1,1,0,1
44,1,12,307,0,1,2,7,0,2,2,2,1,1,1,1,0,1
45,1,4,307,0,1,1,7,0,2,1,2,2,2,1,2,0,1
46,2,5,265,0,1,4,7,0,1,3,1,1,2,1,1,0,1
47,1,72,307,0,2,2,7,0,2,1,1,1,1,1,1,0,1
48,1,1,307,0,3,1,2,0,2,1,3,3,2,1,9,0,1
49,2,60,264,0,1,1,2,7,3,3,1,1,1,1,1,0,0
50,1,1,307,141,2,1,0,0,2,2,2,1,1,1,2,0,1
51,2,6,266,0,1,1,2,7,2,1,1,1,1,1,1,100,1
52,1,2,307,0,1,2,7,0,2,1,1,1,2,1,1,0,1
53,1,12,307,307,2,2,0,0,2,2,1,1,1,1,2,0,1
54,1,3,307,0,2,2,7,0,1,1,3,3,3,2,1,0,1
55,2,3,265,0,3,4,6,7,1,2,1,1,2,1,2,0,0
56,2,5,266,0,1,1,7,0,2,1,2,1,2,1,1,30,1
57,1,24,307,0,2,5,0,0,2,2,1,1,1,1,1,0,0
58,1,4,307,0,1,5,0,0,3,2,2,2,2,1,1,0,0
59,2,2,243,0,3,1,6,7,1,1,3,3,3,1,6,0,1
60,2,1,266,0,2,4,0,0,2,1,2,2,2,1,1,0,0
61,1,9,307,0,1,2,5,0,2,1,1,1,3,1,1,0,1
62,1,60,307,0,2,2,5,0,2,1,2,2,1,1,1,0,1
63,1,2,307,0,1,1,2,0,2,2,2,2,2,1,1,0,0
64,1,2,213,307,3,1,3,7,2,3,1,1,2,1,7,0,1
65,1,48,205,0,2,2,5,0,2,2,1,1,2,1,1,0,0
66,2,3,266,0,2,2,0,0,2,1,2,2,2,1,1,0,1
67,2,4,266,0,1,1,3,0,1,1,2,1,2,1,2,0,0
68,2,9,266,0,2,2,7,0,2,1,2,2,2,1,1,0,0
69,1,62,307,0,1,1,3,6,2,2,1,1,1,1,1,0,1
70,1,36,307,0,2,1,2,0,2,1,1,1,1,1,5,0,1
71,1,1,307,307,2,1,2,0,2,2,2,1,2,1,1,0,1
72,1,2,141,128,1,1,2,7,1,1,1,3,2,1,1,0,0
73,1,2,307,0,1,1,2,0,1,1,1,1,2,1,1,0,1
74,1,1,173,96,3,1,2,7,2,2,2,2,2,1,9,100,0
75,1,2,307,0,2,2,5,0,2,1,2,1,2,1,1,0,0
76,1,2,307,0,2,1,0,0,3,1,1,1,2,1,2,0,1
77,1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,1
78,1,2,307,307,1,2,0,0,2,2,1,1,2,1,1,0,0
79,1,1,307,0,2,2,7,0,2,1,1,1,2,1,1,0,1
80,1,2,307,0,2,1,2,0,2,1,1,2,2,1,1,0,1
81,1,3,207,0,1,1,2,0,1,3,1,1,3,1,1,750,0
82,1,3,307,0,1,1,7,0,2,2,2,1,2,1,1,0,0
83,1,3,307,141,1,5,0,0,2,2,3,3,2,1,1,0,1
84,2,6,265,0,2,5,7,0,2,2,2,1,2,1,1,50,1
85,1,1,307,0,2,1,2,0,2,2,2,2,2,1,2,0,0
86,2,47,250,285,2,1,2,0,2,3,2,2,2,1,1,0,1
87,1,2,189,307,1,1,2,0,3,2,3,3,3,1,1,0,0
88,1,12,307,0,2,5,0,0,2,2,1,1,1,1,1,0,1
89,1,2,307,76,1,1,7,0,2,1,1,1,2,1,1,0,1
90,1,1,307,0,1,2,0,0,2,1,2,2,2,1,1,0,1
91,2,1,266,266,3,2,3,7,1,2,2,2,2,1,2,0,1
92,1,1,307,307,3,2,7,0,2,1,2,2,2,1,5,0,1
93,2,24,266,0,1,4,0,0,3,1,2,2,2,2,1,0,1
94,2,24,266,0,2,2,4,0,2,1,2,2,1,1,1,0,1
95,1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,1
96,2,19,285,0,2,1,6,0,3,3,1,1,2,1,1,0,0
97,1,4,207,169,2,2,0,0,1,3,3,1,1,1,1,0,1
98,1,24,307,0,1,2,7,0,2,1,2,2,2,1,1,0,1
99,2,3,265,0,1,1,7,0,2,2,3,3,2,1,1,0,0
100,2,1,264,0,3,5,6,0,1,2,2,2,2,1,2,0,0
101,1,24,119,307,2,1,6,7,2,2,3,3,1,1,1,0,0
102,1,60,195,0,1,6,0,0,2,2,1,1,1,1,1,0,1
103,1,1,307,307,2,1,2,7,2,2,1,1,2,1,1,0,1
104,2,3,266,0,2,2,3,0,1,1,1,1,2,1,1,0,0
105,2,2,265,0,1,3,0,0,1,2,2,2,2,1,1,0,0
106,2,1,266,266,3,1,7,0,2,1,1,1,2,1,2,1,0
107,1,2,307,0,2,1,2,0,2,1,2,2,2,1,1,0,1
108,2,2,266,0,2,6,7,0,2,1,2,1,2,1,1,0,0
109,1,3,307,0,2,2,0,0,2,1,1,1,2,1,1,0,1
110,1,2,307,307,2,1,4,7,3,1,2,2,2,1,6,0,1
111,2,12,299,0,2,3,6,7,2,2,1,2,1,1,2,0,1
112,2,4,266,306,2,1,7,0,2,1,1,1,2,1,1,0,0
113,1,120,307,0,1,1,2,7,3,1,3,3,3,1,1,0,1
114,1,3,307,0,2,2,0,0,2,1,2,2,2,1,1,0,1
115,2,1,265,0,3,2,5,7,1,2,2,2,2,1,4,0,1
116,1,36,109,0,2,2,3,4,3,2,1,1,2,1,1,0,0
117,2,3,266,0,2,1,2,7,1,1,2,1,2,1,1,0,1
118,2,60,285,0,1,3,0,0,2,2,1,1,2,1,1,0,1
119,2,1,266,0,2,2,5,7,2,1,2,1,3,1,1,0,0
120,1,3,307,0,3,1,2,7,2,2,1,1,2,1,3,150,0
121,1,36,189,0,1,1,5,0,3,1,1,1,1,1,1,0,0
122,1,12,206,0,1,1,6,7,2,2,1,2,2,1,1,400,0
123,2,1,266,0,3,1,6,7,1,1,2,3,2,1,4,0,1
124,1,0,307,307,3,1,2,3,3,1,3,3,3,1,2,0,0
125,2,1,265,0,1,1,7,0,1,2,2,2,2,1,1,0,0
126,1,5,70,18,1,5,7,0,2,1,1,1,1,1,1,0,1
127,1,24,103,307,2,1,2,0,2,2,3,3,3,1,1,0,1
128,1,3,307,0,1,2,0,0,2,2,1,1,2,1,1,0,0
129,1,3,307,0,2,2,0,0,1,1,3,3,3,1,3,0,1
130,1,4,307,0,2,1,0,0,2,1,2,1,2,1,1,0,1
131,2,3,266,0,3,1,7,0,2,2,3,3,3,1,2,0,0
132,2,1,265,0,2,1,7,0,1,2,2,2,2,1,5,0,0
133,2,8,292,266,1,2,5,0,2,1,1,1,2,1,1,50,0
134,2,2,303,266,3,1,2,0,2,1,2,2,2,1,2,0,1
135,1,32,307,307,3,1,4,5,2,1,1,1,1,1,2,0,1
136,1,3,78,307,3,1,2,0,3,1,1,1,2,1,3,0,0
137,2,12,265,0,1,1,0,0,2,2,2,2,2,1,1,0,1
138,1,4,307,36,2,1,2,7,2,2,1,1,1,1,1,0,1
139,1,2,307,0,1,1,2,0,2,1,2,3,2,1,1,0,0
140,2,7,254,303,2,1,4,7,2,1,1,1,2,1,1,0,0
141,2,5,264,0,1,4,0,0,2,3,2,1,2,1,1,100,1
142,2,2,265,0,2,6,7,0,2,2,1,1,2,1,2,0,0
143,1,60,10,0,2,1,7,0,2,1,1,1,1,1,1,0,1
144,2,4,265,247,3,1,3,7,2,2,2,2,2,1,5,0,0
145,1,120,20,195,1,2,0,0,2,1,1,1,2,1,2,0,0
146,1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,0
147,2,17,266,0,2,1,2,7,1,1,3,3,1,1,1,0,1
148,2,2,266,0,3,4,5,7,2,1,2,2,2,1,2,0,0
149,1,48,307,307,1,1,2,0,2,2,1,1,1,1,1,0,0
150,1,4,307,0,2,1,7,0,2,1,1,2,2,1,1,0,1
151,2,12,305,0,2,3,5,0,2,2,3,1,1,1,1,0,1
152,2,12,285,292,1,1,7,0,3,3,2,1,2,1,1,0,0
153,2,3,266,0,2,6,7,0,2,1,1,1,2,1,1,0,0
154,1,1,307,0,3,1,2,3,2,2,2,2,2,1,3,0,1
155,1,36,78,0,2,1,2,0,3,2,3,3,3,2,1,0,1
156,1,12,307,0,2,5,7,0,2,1,3,3,3,1,1,0,1
157,1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,80,1
158,1,36,78,0,1,1,0,0,2,1,1,1,1,1,1,0,0
159,2,1,265,0,3,1,6,7,2,2,2,2,2,1,3,0,0
160,2,1,283,0,2,4,7,0,1,1,2,2,2,1,1,0,0
161,1,0,307,0,2,1,7,0,2,2,3,3,3,1,5,0,0
162,1,2,307,0,2,2,0,0,2,1,1,1,2,1,1,0,0
163,1,2,307,0,3,1,4,7,2,1,1,1,2,1,3,30,1
164,1,2,307,307,3,2,0,0,2,2,2,2,2,1,3,0,1
165,2,36,306,0,3,1,3,6,2,2,1,1,1,1,5,0,1
166,1,3,307,0,3,2,4,5,2,1,3,3,3,1,5,0,1
167,1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,0,1
168,1,1,307,0,2,2,5,7,3,1,3,1,3,1,1,0,0
169,2,2,266,0,2,1,5,0,2,1,2,1,2,1,1,0,0
170,2,2,292,252,1,2,5,0,1,1,2,2,2,1,1,0,0
171,1,2,307,0,2,1,2,0,2,1,1,1,2,1,1,80,0
172,2,3,266,0,1,4,0,0,2,1,3,1,2,1,1,0,1
173,1,17,307,0,1,1,0,0,2,2,1,1,1,1,1,150,1
174,1,2,307,0,3,1,2,7,2,1,3,3,3,1,8,0,1
175,2,48,299,0,1,1,2,7,3,1,1,1,2,1,1,20,0
176,2,1,266,0,1,1,2,0,2,1,2,2,2,1,1,0,0
177,2,5,266,264,2,1,7,0,2,2,2,2,2,1,1,150,0
178,1,8,307,141,1,1,2,0,2,1,3,3,1,1,1,0,0
179,1,4,307,307,2,7,0,0,1,1,1,1,1,1,1,0,1
180,1,3,307,0,1,1,7,0,2,1,1,1,2,1,1,0,1
181,2,72,266,0,1,1,7,0,2,1,1,1,1,1,1,0,1
182,2,12,266,254,2,1,4,7,2,1,3,3,3,1,5,0,1
183,1,12,307,0,2,1,2,0,2,2,2,1,2,1,1,0,1
184,2,12,266,266,1,3,7,0,2,1,1,1,1,1,2,0,1
185,1,22,20,0,1,2,5,7,2,1,1,1,2,1,1,0,1
186,1,36,307,0,1,3,0,0,2,2,3,3,2,1,1,0,1
187,1,2,307,0,1,5,0,0,2,2,3,3,2,1,1,0,1
188,2,4,299,0,2,1,2,0,2,1,3,3,1,1,5,0,1
189,1,12,307,0,2,7,0,0,2,2,1,1,2,1,1,0,0
190,1,7,307,0,1,1,7,0,1,1,2,2,2,1,1,50,1
191,1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,0
192,1,3,307,0,2,2,7,0,1,1,2,1,3,1,3,0,1
193,1,24,307,0,2,2,7,0,2,1,1,1,1,1,1,0,1
194,1,1,307,0,2,2,0,0,2,3,2,2,2,1,1,0,0
195,1,1,307,0,2,2,0,0,2,1,2,2,2,1,1,0,0
196,1,3,307,0,1,3,0,0,3,1,1,1,2,1,2,0,0
197,2,5,266,0,1,1,7,0,1,1,1,2,3,1,1,0,1
198,1,16,205,147,2,5,7,0,1,1,1,1,3,1,1,0,0
199,2,2,266,0,1,3,5,7,2,1,1,1,2,1,1,0,0
200,2,2,265,0,1,5,0,0,1,2,3,3,3,1,1,0,1
201,1,7,205,178,1,2,0,0,2,1,1,1,3,1,1,0,0
202,2,13,266,0,2,2,3,0,2,1,2,1,2,1,1,0,1
203,1,3,307,0,1,1,7,0,2,1,1,1,1,1,1,0,1
204,1,12,307,0,1,1,2,0,2,1,1,1,2,1,1,0,1
205,2,3,266,0,1,1,7,0,1,1,1,1,2,1,1,0,0
206,1,2,307,307,2,1,2,0,2,2,2,2,2,1,1,0,1
207,2,10,266,0,2,4,0,0,2,1,1,1,1,1,1,0,1
208,1,2,307,0,2,4,5,7,2,1,2,1,2,1,1,0,0
209,1,2,307,0,1,1,2,5,2,1,2,2,2,1,1,0,1
210,2,4,266,0,2,1,2,6,3,1,2,2,2,1,1,0,0
211,1,60,109,307,1,2,4,7,2,2,1,1,1,1,1,0,1
212,2,2,266,0,2,1,4,7,2,1,2,2,2,1,6,30,1
213,2,12,266,0,2,2,3,5,2,1,1,1,1,1,1,0,1
214,2,2,266,254,2,1,4,7,1,1,2,2,2,1,1,0,0
215,2,0,292,299,3,2,5,0,2,1,2,2,2,2,3,0,0
216,1,2,307,141,3,5,7,0,3,1,1,1,2,1,3,0,1
217,2,6,266,0,2,3,7,0,2,1,2,1,1,1,1,0,1
218,1,3,307,0,2,1,2,0,3,1,3,3,2,1,1,0,0
219,1,1,307,0,2,1,0,0,2,2,2,1,2,1,1,0,0
220,1,2,307,0,2,1,2,7,1,1,2,2,2,1,4,0,0
221,2,3,265,0,1,4,7,0,2,2,2,2,2,1,1,50,0
222,1,19,307,0,2,1,0,0,2,1,1,1,1,1,1,80,1
223,2,11,266,0,2,1,4,7,2,1,1,1,1,1,1,50,1
224,1,37,307,0,2,2,3,7,2,1,1,1,1,1,1,0,1
225,2,4,288,285,2,1,7,0,1,3,2,2,3,1,1,250,0
226,1,3,307,141,1,5,0,0,2,1,2,1,1,1,1,0,0
227,1,6,307,0,1,1,2,5,2,1,1,1,1,1,1,0,1
228,2,1,266,0,2,3,5,0,2,1,2,2,2,1,1,0,0
229,1,5,307,0,1,1,2,0,2,1,3,3,3,1,1,0,1
230,1,1,307,0,3,1,0,0,2,1,2,2,2,1,6,0,1
231,2,7,266,0,1,1,7,0,2,1,2,1,2,1,1,0,0
232,1,4,307,0,2,1,2,0,2,2,2,1,2,1,1,1,1
233,2,1,266,0,2,1,2,5,2,1,2,2,2,1,1,0,1
234,1,48,307,0,2,2,0,0,2,1,1,1,1,1,1,0,1
235,1,3,69,4,2,2,0,0,1,1,2,2,2,1,1,0,0
236,1,2,307,0,1,1,2,7,2,2,1,1,2,1,1,0,0
237,2,4,266,0,1,4,7,0,1,1,1,1,3,1,1,0,0
238,1,22,205,0,2,5,7,0,2,1,1,1,2,1,1,0,0
239,1,60,179,179,2,2,0,0,1,3,1,1,1,1,1,0,0
240,1,1,218,205,3,1,5,7,2,2,2,2,2,1,4,0,0
241,1,3,31,307,1,1,0,0,2,1,3,3,2,1,1,0,0
242,2,3,266,265,2,1,4,7,2,1,2,1,2,1,4,0,0
243,2,4,265,0,2,5,0,0,2,2,3,3,3,1,1,0,0
244,2,13,285,265,2,1,6,0,2,2,1,1,2,1,1,0,0
245,2,1,266,0,1,1,7,0,1,1,3,3,3,1,1,0,1
246,1,5,141,0,2,1,0,0,2,2,1,1,2,1,1,0,0
247,1,2,307,0,2,1,7,0,2,2,2,1,2,1,1,0,1
248,2,1,266,0,3,1,7,0,2,2,2,2,2,1,3,0,0
249,1,2,128,307,2,2,7,0,2,1,1,1,2,1,1,0,0
250,1,36,307,0,2,2,0,0,2,1,1,1,1,1,1,0,1
251,1,2,307,0,2,1,2,0,2,1,1,1,2,1,1,0,1
252,1,2,307,307,2,1,2,0,2,2,2,1,2,1,1,0,0
253,2,2,266,0,2,1,7,0,2,1,2,1,2,1,1,0,0
254,2,8,299,0,1,3,0,0,2,1,1,1,1,1,1,0,0
255,2,2,265,0,2,1,6,7,2,2,1,1,2,1,1,0,1
256,2,9,299,0,2,2,5,6,1,1,1,1,1,1,1,0,0
257,2,6,266,299,2,6,0,0,2,1,3,3,3,1,1,0,0
258,1,2,307,0,2,1,2,0,2,1,2,2,2,1,3,0,0
259,1,18,20,307,2,2,7,0,2,1,1,1,1,1,1,0,0
260,1,14,307,0,1,2,0,0,3,2,1,1,1,1,1,0,0
261,2,3,266,0,1,1,7,0,1,1,2,2,2,1,2,0,1
262,2,2,266,0,1,7,0,0,2,1,2,1,2,1,1,0,0
263,1,1,307,307,3,1,2,7,3,1,2,1,2,1,20,50,1
264,2,12,247,0,1,1,6,7,2,2,1,1,1,1,1,0,1
265,2,12,266,300,2,1,2,0,2,1,2,3,1,1,1,0,1
266,1,1,70,307,2,1,5,0,2,1,2,2,2,1,1,0,0
267,2,9,266,0,1,1,6,7,2,1,1,1,1,1,2,0,1
268,1,2,307,0,2,1,2,7,2,2,1,1,2,1,1,0,1
269,2,2,265,265,3,6,7,0,1,2,2,2,2,1,4,0,0
270,2,2,266,0,2,2,4,5,2,1,2,2,2,1,3,0,0
271,1,3,307,0,2,2,0,0,2,1,3,3,3,1,1,0,0
272,1,3,307,119,1,5,7,0,2,2,2,2,2,1,1,0,0
273,2,6,266,0,2,4,0,0,1,1,1,1,1,1,1,200,1
274,2,3,292,0,1,1,7,0,1,1,2,2,2,1,1,0,0
275,1,24,307,307,3,1,2,0,2,1,2,2,1,1,2,0,0
276,1,3,307,307,1,2,0,0,3,1,2,2,3,1,1,0,0
277,1,24,307,307,2,2,0,0,2,1,1,1,1,2,1,20,1
278,1,1,307,0,1,2,7,0,2,2,2,2,2,1,1,0,0
279,1,2,307,103,2,1,2,0,2,2,2,1,2,1,1,250,1
280,1,2,307,0,1,3,0,0,2,2,1,1,2,1,1,0,0
281,1,7,307,0,2,2,0,0,2,1,1,1,2,1,1,0,1
282,2,3,264,0,1,1,3,0,1,3,2,2,2,1,1,150,0
283,1,1,307,0,2,2,0,0,2,1,2,2,2,1,1,0,1
284,1,1,307,0,2,1,2,0,2,1,1,1,2,1,1,0,0
285,1,55,20,0,1,1,4,7,2,1,1,1,1,1,1,0,0
286,1,2,200,307,2,1,2,0,2,1,1,1,2,1,1,0,0
287,1,3,307,0,2,1,2,0,2,2,1,1,1,1,1,0,1
288,1,36,213,0,2,3,5,0,2,2,3,3,1,1,1,0,1
289,2,1,265,0,2,1,4,7,2,3,2,1,2,1,1,0,0
290,2,6,292,0,2,2,5,0,2,2,2,2,2,1,1,0,1
291,2,6,265,266,2,2,5,0,2,2,2,2,2,1,1,0,0
292,2,4,247,266,1,2,0,0,2,2,2,2,2,2,1,0,0
293,1,2,307,218,2,2,7,0,2,2,1,1,2,1,1,0,0
294,1,5,307,0,2,1,2,7,2,1,1,1,2,1,1,0,0
295,2,20,265,0,1,1,6,7,3,2,2,1,2,1,1,0,0
296,1,2,307,0,2,2,7,0,2,1,1,1,2,1,1,0,1
297,1,7,307,0,1,2,7,0,2,2,1,3,3,1,1,0,0
298,2,1,266,0,1,1,7,0,2,1,2,1,2,1,1,0,0
299,1,2,307,0,2,1,2,0,2,2,1,1,2,1,2,0,1
300,1,1,307,307,2,1,0,0,2,1,2,2,2,1,1,0,1
301,2,28,248,264,1,1,0,0,3,3,1,1,2,1,1,0,0
302,1,24,26,307,2,1,2,0,2,2,1,1,1,1,1,250,1
303,1,2,307,0,2,1,2,7,2,1,2,1,2,1,2,0,0
304,1,12,307,0,1,2,3,7,2,2,1,1,1,1,1,0,1
305,2,4,266,0,1,1,2,4,2,1,2,2,2,1,1,0,1
306,1,2,307,0,2,1,3,0,2,2,1,1,2,1,1,0,0
307,2,2,265,0,1,4,0,0,1,1,1,1,2,1,1,0,0
308,1,1,307,0,2,1,0,0,2,2,2,2,2,1,2,0,0
309,1,1,307,0,2,1,2,7,1,1,2,2,2,1,1,0,1
310,1,5,20,0,2,1,2,7,2,1,3,3,3,1,1,300,0
311,2,22,265,0,2,1,0,0,2,2,1,1,1,1,1,0,1
312,2,36,266,0,2,1,2,7,2,2,1,1,1,1,1,0,1
313,1,36,213,218,2,7,0,0,2,2,1,1,1,1,1,0,0
314,1,8,307,0,1,4,0,0,2,1,1,1,2,1,1,0,1
315,1,10,307,0,2,7,0,0,2,1,2,1,1,1,1,0,1
316,1,2,307,0,2,2,4,0,2,1,2,1,2,1,1,0,1
317,2,2,265,0,1,1,7,0,1,2,2,2,2,1,1,0,1
318,1,3,307,0,1,1,0,0,2,1,3,1,3,1,1,0,1
319,1,3,307,0,2,1,7,0,2,1,2,2,2,1,1,0,1
320,2,0,266,0,3,1,2,7,2,1,3,1,1,1,18,0,1
321,1,60,205,0,2,1,7,0,1,2,3,1,1,1,1,0,1
322,1,2,307,0,1,2,0,0,2,1,1,1,2,1,1,0,0
323,1,2,307,0,3,2,6,7,2,1,2,2,2,1,6,0,1
324,2,12,265,0,1,2,7,0,2,2,1,1,1,1,1,0,0
325,1,1,307,307,2,1,2,0,2,2,2,1,2,1,1,0,1
326,2,2,266,0,1,3,0,0,3,1,3,3,3,1,2,0,0
327,2,2,266,0,3,7,0,0,2,1,2,1,2,1,3,0,0
328,1,1,307,0,2,7,0,0,2,2,2,2,2,1,1,0,1
329,1,24,307,0,2,7,0,0,3,1,3,3,1,2,1,0,1
330,1,3,307,307,2,2,0,0,2,1,1,1,1,1,1,200,1
331,2,2,266,266,3,1,6,7,2,1,2,1,2,1,4,0,1
332,1,2,307,0,1,1,2,7,2,1,2,2,2,1,1,0,1
333,2,12,265,0,1,1,0,0,1,2,3,3,3,1,1,0,1
334,1,12,307,307,2,2,0,0,2,2,2,1,2,1,1,0,1
335,1,1,307,0,1,2,0,0,2,1,1,1,2,1,1,0,1
336,2,11,266,0,2,1,4,7,2,1,1,1,1,1,1,0,0
337,1,74,205,0,1,2,7,0,2,2,3,1,3,1,1,0,0
338,1,36,218,218,2,2,3,5,2,3,1,1,1,1,1,0,1
339,1,3,307,307,2,2,7,0,2,2,2,1,2,1,1,0,1
340,1,2,307,0,2,1,2,7,2,1,1,1,2,1,1,0,1
341,1,3,307,0,2,1,2,7,2,2,1,1,2,1,1,0,1
342,1,48,179,0,1,7,0,0,1,1,1,1,2,1,1,0,0
343,2,3,266,0,3,2,5,7,1,1,3,1,1,1,7,60,1
344,1,2,307,0,2,1,2,0,2,1,1,1,1,1,1,0,1
345,1,36,179,0,1,2,0,0,1,2,3,3,2,1,1,0,0
346,2,3,264,0,1,1,7,0,2,3,2,1,2,1,1,0,0
347,2,4,266,0,2,1,6,7,1,1,2,2,2,1,1,0,0
348,1,2,307,0,3,2,7,0,2,1,2,2,2,1,5,0,0
349,1,1,141,307,1,1,2,0,2,1,2,1,2,1,1,0,1
350,1,60,195,0,1,1,7,0,2,1,1,1,1,1,1,0,0
351,1,2,307,307,2,1,0,0,2,2,1,1,2,1,1,0,0
352,1,4,307,0,2,1,2,0,2,2,1,1,2,1,1,0,1
353,2,3,266,264,3,1,6,7,3,2,1,1,2,1,4,0,1
354,2,2,266,0,2,1,4,7,2,1,2,1,2,1,1,0,0
355,1,3,307,0,2,3,0,0,2,1,1,1,1,1,1,0,1
356,1,2,307,0,2,1,2,0,2,2,2,2,2,1,1,0,0
357,2,1,265,0,2,7,0,0,1,2,2,1,2,1,1,0,0
358,1,18,307,307,2,1,0,0,2,1,1,1,1,1,1,0,1
359,2,1,264,0,3,1,3,0,1,2,2,2,2,1,2,0,1
360,2,3,266,0,1,3,0,0,2,1,1,1,2,1,1,20,0
361,2,6,265,0,1,6,7,0,2,2,1,1,1,1,1,120,0
362,2,6,299,0,3,3,4,7,3,2,3,3,3,1,2,0,0
363,1,2,307,0,1,1,2,5,2,1,1,1,2,1,1,0,0
364,1,24,307,0,2,2,0,0,2,1,3,3,3,1,1,0,1
365,2,6,266,0,1,1,7,0,2,1,3,3,3,1,1,0,1
366,1,2,307,307,2,2,0,0,2,2,2,1,2,1,1,0,0
367,1,48,205,0,1,1,0,0,1,2,1,1,2,1,1,0,0
368,1,2,307,0,1,2,0,0,2,1,2,2,2,1,1,1,0
369,2,3,266,0,2,6,7,0,2,1,2,1,2,1,1,0,0
370,2,1,266,0,3,1,4,7,2,1,2,1,2,1,4,0,0
371,1,53,307,307,1,7,0,0,2,2,1,3,3,1,1,0,1
372,2,1,243,0,1,1,7,0,1,1,2,2,2,1,1,0,1
373,2,7,264,0,1,1,7,0,2,2,1,1,1,1,1,0,1
374,2,4,266,0,2,1,0,0,1,1,2,2,2,1,1,0,0
375,1,1,307,307,1,2,0,0,2,2,2,1,2,1,1,0,0
376,2,1,266,0,1,1,7,0,2,1,2,1,2,1,1,0,0
377,1,2,307,307,3,1,2,5,1,1,2,1,2,1,2,0,0
378,1,48,307,111,1,2,0,0,2,1,3,3,3,1,1,0,1
379,1,1,307,0,3,1,5,7,2,1,3,3,3,1,2,0,1
380,2,2,247,265,2,6,7,0,1,1,2,2,2,1,1,0,0
381,1,1,78,213,1,1,2,0,2,1,3,3,2,1,1,0,0
382,1,48,205,0,3,2,6,7,1,3,1,1,2,2,2,300,0
383,2,1,266,0,3,1,4,6,1,1,2,2,2,1,4,0,0
